id,Grid cell,green_area_m2,city_level,neighborhood_level,trail,camera_surveillance,commercial_poi,public_poi,recreation_poi,housing_Owner,housing_Renter,housing_buld_age_1945 and before,housing_buld_age_1946-1990,housing_buld_age_1991 and after,housing_small_apartment,housing_large_apartment,housing_standalone_house,housing_auxiliary_house,housing_others,isco_High,isco_Medium,isco_Low,ethnical_EST,ethnical_RUS,age_0-9,age_10-19,age_20-29,age_30-39,age_40-49,age_50-59,age_60-69,age_70-79,age_80-89,age_90+,revised_landuse_11100,revised_landuse_11210,revised_landuse_11220,revised_landuse_12100,X,Y,landuse_diversity,numbers_against_public_order,numbers_violent_crime,numbers_against_property,Grid cell_count,geometry,crime_incidents
14,500mN6580500E536500,86714.882,487.648,2512.885,199.894,0.0,0.0,0.0,0.0,181,6,0.0,64.0,125.0,3.0,6.0,54.0,0.0,0.0,51,36,22,175,15,24,35,18,22,38,25,17,9,4,3,,37786.335,33490.142,10566.421,536749.5,6580749.5,4,0.0,0.0,3.0,1.0,"POLYGON ((536500 6580500, 536500 6580999, 536999 6580999, 536999 6580500, 536500 6580500))",3.0
15,500mN6580500E537000,185724.747,0.0,1072.963,515.496,0.0,0.0,0.0,0.0,86,12,0.0,46.0,56.0,3.0,2.0,39.0,0.0,0.0,33,12,8,97,6,7,17,11,9,15,19,12,8,3,4,,5041.021,40073.972,,537249.5,6580749.5,3,,,,,"POLYGON ((537000 6580500, 537000 6580999, 537499 6580999, 537499 6580500, 537000 6580500))",
16,500mN6580500E537500,184395.066,298.38,309.281,1037.404,0.0,0.0,0.0,0.0,17,0,3.0,8.0,12.0,1.0,0.0,6.0,0.0,0.0,4,6,0,21,0,3,4,3,0,4,3,4,3,3,0,,1119.281,8150.548,,537749.5,6580749.5,3,1.0,0.0,0.0,1.0,"POLYGON ((537500 6580500, 537500 6580999, 537999 6580999, 537999 6580500, 537500 6580500))",1.0
17,500mN6593500E550500,209993.887,91.71,2180.036,4752.217,0.0,0.0,0.0,0.0,14,0,0.0,0.0,14.0,2.0,0.0,5.0,0.0,0.0,4,3,0,10,3,3,4,0,0,4,3,3,0,0,0,,6552.29,,,550749.5,6593749.5,2,0.0,0.0,1.0,1.0,"POLYGON ((550500 6593500, 550500 6593999, 550999 6593999, 550999 6593500, 550500 6593500))",1.0
18,500mN6593500E551000,180258.747,1255.196,573.802,1387.038,0.0,0.0,0.0,0.0,20,0,3.0,0.0,17.0,0.0,0.0,3.0,0.0,0.0,0,3,8,9,0,0,3,3,4,6,3,0,0,0,0,,,,110.859,551249.5,6593749.5,2,1.0,0.0,5.0,1.0,"POLYGON ((551000 6593500, 551000 6593999, 551499 6593999, 551499 6593500, 551000 6593500))",6.0
19,500mN6580500E543000,194502.194,423.431,1398.302,490.49,0.0,0.0,0.0,0.0,74,9,0.0,6.0,77.0,0.0,2.0,29.0,0.0,0.0,31,12,8,78,3,9,6,6,14,5,17,21,4,0,0,,34578.845,11037.344,,543249.5,6580749.5,3,0.5,0.0,1.5,2.0,"POLYGON ((543000 6580500, 543000 6580999, 543499 6580999, 543499 6580500, 543000 6580500))",2.0
20,500mN6580500E543500,212051.182,686.764,720.898,802.789,0.0,0.0,0.0,0.0,47,3,0.0,42.0,19.0,0.0,1.0,7.0,0.0,0.0,18,4,10,59,0,10,7,11,9,6,6,6,3,4,0,,49.98,21060.789,,543749.5,6580749.5,3,0.5,0.0,1.5,2.0,"POLYGON ((543500 6580500, 543500 6580999, 543999 6580999, 543999 6580500, 543500 6580500))",2.0
21,500mN6581000E535000,160078.598,203.717,1177.668,482.261,0.0,0.0,0.0,0.0,129,0,11.0,95.0,42.0,2.0,2.0,52.0,0.0,1.0,37,19,20,140,4,18,24,11,14,22,26,17,9,5,3,,45746.961,37433.842,,535249.5,6581249.5,3,3.0,0.0,0.0,1.0,"POLYGON ((535000 6581000, 535000 6581499, 535499 6581499, 535499 6581000, 535000 6581000))",3.0
22,500mN6581000E535500,2564.257,8.555,3750.163,175.408,0.0,0.0,0.0,0.0,412,19,89.0,333.0,42.0,4.0,8.0,155.0,0.0,0.0,108,62,58,436,21,45,73,37,54,70,66,60,43,11,5,,175144.987,50941.097,,535749.5,6581249.5,3,,,,,"POLYGON ((535500 6581000, 535500 6581499, 535999 6581499, 535999 6581000, 535500 6581000))",
45,500mN6581500E542500,208170.076,998.341,1104.307,1674.359,0.0,0.0,1.0,0.0,22,0,0.0,10.0,13.0,0.0,0.0,5.0,0.0,0.0,9,3,3,23,0,0,9,3,3,4,5,0,0,0,0,,8284.97,,6906.799,542749.5,6581749.5,3,1.0,0.0,1.0,1.0,"POLYGON ((542500 6581500, 542500 6581999, 542999 6581999, 542999 6581500, 542500 6581500))",2.0
