,trees_sqrt,error_sqrt,trees_log2,error_log2,trees_auto,error_auto
0,30,0.8039904699948197,30,0.7207566321396593,30,0.8063177278448975
1,35,0.7233395563393047,35,0.735469449382338,35,0.760024332440651
2,40,0.7127466520473495,40,0.7152451172474101,40,0.7860071590977554
3,45,0.7115845768771939,45,0.694861919742133,45,0.7674547687480003
4,50,0.7150117798805526,50,0.6936529777822646,50,0.7390587748848196
5,55,0.7039640351147013,55,0.6956945322663641,55,0.7392748277707478
6,60,0.7021372729775827,60,0.6964523094196565,60,0.7314828809161488
7,65,0.694810764780062,65,0.6869305098422721,65,0.7128122919708717
8,70,0.6936792013956997,70,0.6869426342636299,70,0.7229605712675439
9,75,0.6956319239486397,75,0.6836076232095397,75,0.7137287395204588
10,80,0.6968797260505202,80,0.6760257942093038,80,0.716223592420893
11,85,0.6966793143329612,85,0.6671483386740278,85,0.7123157515588948
12,90,0.6835501053399697,90,0.6615439884789159,90,0.7048839201931185
13,95,0.6865986098900946,95,0.6729007972917685,95,0.7158047530552235
14,100,0.6866627030408335,100,0.6819386874702817,100,0.7146233725723479
15,105,0.681755127961948,105,0.6760399453760928,105,0.6991384903442104
16,110,0.6847749725521134,110,0.686514074125567,110,0.6975010178245542
17,115,0.6834432539653942,115,0.6898954742276322,115,0.6928817701438739
18,120,0.684931187284993,120,0.700788165012344,120,0.6906038798488935
19,125,0.6870754597555845,125,0.69787534550282,125,0.690046326845691
20,130,0.6934238186859493,130,0.6976309941563117,130,0.6999779386972568
21,135,0.6893846847294047,135,0.7000275428562753,135,0.7022217139844698
22,140,0.6856803560205328,140,0.7018979573032973,140,0.7022006888019263
23,145,0.6761128621281397,145,0.6982249090154615,145,0.6979258559538773
24,150,0.6738712673777775,150,0.6974197359309524,150,0.692261710713772
25,155,0.673194640382968,155,0.699883233712081,155,0.6899499977052969
26,160,0.6759301704365395,160,0.6986411054320564,160,0.6847367050218071
27,165,0.6789706529180406,165,0.6968589523296524,165,0.6798302113650657
28,170,0.6735882709576815,170,0.6993122618300077,170,0.6754915769109078
29,175,0.668103659585956,175,0.7016466921899768,175,0.6746469363304891
30,180,0.66435830596279,180,0.6997706764633842,180,0.6717826358674431
31,185,0.6652230267097141,185,0.70466749421192,185,0.6752305351990071
32,190,0.665768383348938,190,0.702284409983344,190,0.674168327003805
33,195,0.6691647020113647,195,0.694679383908885,195,0.6755721517833708
34,200,0.6730367651220551,200,0.6958324420729712,200,0.6720176608496828
35,205,0.6717676508007758,205,0.6975614859311072,205,0.6685512961651828
36,210,0.6716202485036801,210,0.6951448915685039,210,0.6628827756480915
37,215,0.6710766787449478,215,0.6959951377832219,215,0.6633253121185821
38,220,0.6703719642066083,220,0.6952108144594908,220,0.6634425558066909
39,225,0.6691675550709787,225,0.6938080389613842,225,0.6623692808567586
40,230,0.6722679342487461,230,0.698187113703954,230,0.6631518044711971
41,235,0.6755614695596923,235,0.7016190875447592,235,0.6662983795993744
42,240,0.6779317168219745,240,0.6999560681331854,240,0.6644647795224214
43,245,0.6780291316281972,245,0.696644015524813,245,0.6646284307052432
44,250,0.6746363793987614,250,0.6954424623712729,250,0.6687381932501265
45,255,0.671990252224522,255,0.6959378749854904,255,0.6680893185876309
46,260,0.6676400521130581,260,0.6983137946723753,260,0.6713952319579201
47,265,0.6692268884331546,265,0.6970655374493359,265,0.6713310275884213
48,270,0.6704044140810655,270,0.6955829242553914,270,0.6715382534045629
49,275,0.6727415040187986,275,0.6996776177063323,275,0.6687345260083168
50,280,0.6714264914067924,280,0.7000397479055082,280,0.6666751901095002
51,285,0.6691331668558987,285,0.6995186418543303,285,0.6674150380316094
52,290,0.6685027348254319,290,0.7021568895761228,290,0.6659344965828341
53,295,0.667310644517956,295,0.6998078028226602,295,0.6662164442976168
54,300,0.6676516546616599,300,0.7009882959815164,300,0.6661775672638302
55,305,0.6693567440413473,305,0.7017445799327977,305,0.6651303811086152
56,310,0.6702666164456799,310,0.7011841287860736,310,0.6659271811323796
57,315,0.6669808605832366,315,0.6982166636915551,315,0.6613539429762799
58,320,0.6673486971547372,320,0.6974097478327316,320,0.6614894867208003
59,325,0.6653436561320595,325,0.6955636460727603,325,0.6588723617467394
60,330,0.6651060427517822,330,0.6949774471765046,330,0.6613603079166698
61,335,0.6653646187833387,335,0.6958580331995372,335,0.6617687648805692
62,340,0.6636884253033584,340,0.6952707853263009,340,0.6606379099676294
63,345,0.6664750016292317,345,0.6981950623320736,345,0.6638783514285437
64,350,0.6675954038187891,350,0.6962951736609461,350,0.6633166085812232
65,355,0.6691903695394491,355,0.6952031369438034,355,0.6645504325016238
66,360,0.6678810396824729,360,0.6959064683772462,360,0.6638086940514858
67,365,0.66993827679145,365,0.6959499736965444,365,0.6638151624224405
68,370,0.6693162713044987,370,0.6938015476984094,370,0.6656631361007086
69,375,0.6685584950577396,375,0.6938225227736934,375,0.6654223034202962
70,380,0.6684738032014226,380,0.6945942392589577,380,0.6670531224810252
71,385,0.6709672254448638,385,0.6931018459929174,385,0.6686300283504082
72,390,0.6719266929200547,390,0.6939219462314423,390,0.6670008790809198
73,395,0.6741122232588568,395,0.6939217619244256,395,0.665895115545981
74,400,0.6755102483878878,400,0.6937568597713734,400,0.6670894364179215
75,405,0.6761470166360369,405,0.691786629281144,405,0.6667314561133414
76,410,0.6747509031743941,410,0.6911379709652221,410,0.6658379173227221
77,415,0.6731123727203485,415,0.6902036515088803,415,0.6663239563667643
78,420,0.6751255385737311,420,0.6897235747425422,420,0.6665031336152331
79,425,0.6746826663184549,425,0.6899479843238954,425,0.6679408304825971
80,430,0.6756889195518537,430,0.6892154717133765,430,0.6673681053746391
81,435,0.677241306515596,435,0.6882366884984865,435,0.6654969144069689
82,440,0.6782068988968376,440,0.6868952021533351,440,0.663863462450894
83,445,0.6786592575335965,445,0.6854510766158902,445,0.6612246257501193
84,450,0.6814804068054379,450,0.6849380033716114,450,0.6626054532859194
85,455,0.681603713429262,455,0.6858850139981457,455,0.663336564995171
86,460,0.6846447418569561,460,0.6877235418002319,460,0.6668266892808397
87,465,0.6847381643843948,465,0.688193016496422,465,0.6679354131448773
88,470,0.6866606632903416,470,0.6890764357352728,470,0.666912075436351
89,475,0.6858607473614432,475,0.6905529315909767,475,0.6691890673420908
90,480,0.6852678328174028,480,0.689842697931346,480,0.6691933778457028
91,485,0.686579224253618,485,0.6908746851392898,485,0.6671716103013715
92,490,0.6853421516373994,490,0.6896848149173685,490,0.6673326561738285
93,495,0.6841569487995135,495,0.6890002439271329,495,0.6670212112809459
94,500,0.6836866807193395,500,0.6899429759421026,500,0.6659600887993629
